date;time;log_level;class;thread;message
2019-12-24;16:36:02,319;INFO;com.zaxxer.hikari.HikariDataSource [Thread-4] HikariPool-1 - Shutdown completed.
2019-12-24;16:36:15,468;INFO;org.springframework.boot.StartupInfoLogger;[main];Starting SareetaApplicationTests on LAPTOP-71AU3NLE with PID 2696 (started by MD in C:\Users\MD\Desktop\desktop\Udacity\Java\spring-boot\P4\JDND-master\projects\P04-eCommerce Application\starter_code)
2019-12-24;16:36:15,472;DEBUG;org.springframework.boot.StartupInfoLogger;[main];Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-12-24;16:36:15,474;INFO;org.springframework.boot.SpringApplication;[main];No active profile set, falling back to default profiles: default
2019-12-24;16:36:16,399;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-24;16:36:16,541;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Finished Spring Data repository scanning in 126ms. Found 4 repository interfaces.
2019-12-24;16:36:17,543;INFO;org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker;[main];Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e2344ec3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-24;16:36:17,948;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Starting...
2019-12-24;16:36:18,423;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Start completed.
2019-12-24;16:36:18,617;INFO;org.hibernate.jpa.internal.util.LogHelper;[main];HHH000204: Processing PersistenceUnitInfo [name: default...]
2019-12-24;16:36:18,849;INFO;org.hibernate.Version;[main];HHH000412: Hibernate Core {5.3.10.Final}
2019-12-24;16:36:18,852;INFO;org.hibernate.cfg.Environment;[main];HHH000206: hibernate.properties not found
2019-12-24;16:36:18,960;INFO;org.hibernate.annotations.common.reflection.java.JavaReflectionManager;[main];HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-12-24;16:36:19,645;INFO;org.hibernate.dialect.Dialect;[main];HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-12-24;16:36:21,068;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean;[main];Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:36:22,231;WARN;org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration;[main];spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-12-24;16:36:22,424;INFO;org.springframework.security.web.DefaultSecurityFilterChain;[main];Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ab38d49, org.springframework.security.web.context.SecurityContextPersistenceFilter@516d278, org.springframework.security.web.header.HeaderWriterFilter@3a4892eb, org.springframework.web.filter.CorsFilter@d650e4d, org.springframework.security.web.authentication.logout.LogoutFilter@5125bf2d, com.example.demo.security.JWTAuthenticationFilter@5ce0f88, com.example.demo.security.JWTAuthenticationVerificationFilter@114c3c80, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2a23440, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e039766, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@57532225, org.springframework.security.web.session.SessionManagementFilter@31e6305, org.springframework.security.web.access.ExceptionTranslationFilter@29537f67, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1ab59b7e]
2019-12-24;16:36:23,109;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport;[main];Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24;16:36:23,510;INFO;org.springframework.boot.StartupInfoLogger;[main];Started SareetaApplicationTests in 8.871 seconds (JVM running for 12.3)
2019-12-24;16:36:23,588;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport ;[Thread-3]; Shutting down ExecutorService 'applicationTaskExecutor'
2019-12-24;16:36:23,590;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean ;[Thread-3]; Closing JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:36:23,594;INFO;com.zaxxer.hikari.HikariDataSource ;[Thread-3]; HikariPool-1 - Shutdown initiated...
2019-12-24;16:36:23,603;INFO;com.zaxxer.hikari.HikariDataSource ;[Thread-3]; HikariPool-1 - Shutdown completed.
2019-12-24;16:36:40,074;INFO;org.springframework.boot.StartupInfoLogger;[main];Starting SareetaApplicationTests on LAPTOP-71AU3NLE with PID 8900 (started by MD in C:\Users\MD\Desktop\desktop\Udacity\Java\spring-boot\P4\JDND-master\projects\P04-eCommerce Application\starter_code)
2019-12-24;16:36:40,077;DEBUG;org.springframework.boot.StartupInfoLogger;[main];Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE
2019-12-24;16:36:40,078;INFO;org.springframework.boot.SpringApplication;[main];No active profile set, falling back to default profiles: default
2019-12-24;16:36:40,968;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-24;16:36:41,095;INFO;org.springframework.data.repository.config.RepositoryConfigurationDelegate;[main];Finished Spring Data repository scanning in 113ms. Found 4 repository interfaces.
2019-12-24;16:36:42,135;INFO;org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker;[main];Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1366309b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-24;16:36:42,561;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Starting...
2019-12-24;16:36:43,048;INFO;com.zaxxer.hikari.HikariDataSource;[main];HikariPool-1 - Start completed.
2019-12-24;16:36:43,171;INFO;org.hibernate.jpa.internal.util.LogHelper;[main];HHH000204: Processing PersistenceUnitInfo [name: default...]
2019-12-24;16:36:43,320;INFO;org.hibernate.Version;[main];HHH000412: Hibernate Core {5.3.10.Final}
2019-12-24;16:36:43,323;INFO;org.hibernate.cfg.Environment;[main];HHH000206: hibernate.properties not found
2019-12-24;16:36:43,421;INFO;org.hibernate.annotations.common.reflection.java.JavaReflectionManager;[main];HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-12-24;16:36:43,912;INFO;org.hibernate.dialect.Dialect;[main];HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-12-24;16:36:45,189;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean;[main];Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:36:46,607;WARN;org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration;[main];spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-12-24;16:36:46,827;INFO;org.springframework.security.web.DefaultSecurityFilterChain;[main];Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1ab59b7e, org.springframework.security.web.context.SecurityContextPersistenceFilter@3e9618af, org.springframework.security.web.header.HeaderWriterFilter@37f8aab0, org.springframework.web.filter.CorsFilter@28cf8d51, org.springframework.security.web.authentication.logout.LogoutFilter@1f8dee82, com.example.demo.security.JWTAuthenticationFilter@5d15231d, com.example.demo.security.JWTAuthenticationVerificationFilter@441f9b38, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@76bdf8da, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d825da0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72c786ae, org.springframework.security.web.session.SessionManagementFilter@172fd049, org.springframework.security.web.access.ExceptionTranslationFilter@2fba87dc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@25e1dd1d]
2019-12-24;16:36:47,646;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport;[main];Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24;16:36:48,070;INFO;org.springframework.boot.StartupInfoLogger;[main];Started SareetaApplicationTests in 8.786 seconds (JVM running for 12.248)
2019-12-24;16:36:48,141;INFO;org.springframework.scheduling.concurrent.ExecutorConfigurationSupport ;[Thread-3]; Shutting down ExecutorService 'applicationTaskExecutor'
2019-12-24;16:36:48,144;INFO;org.springframework.orm.jpa.AbstractEntityManagerFactoryBean ;[Thread-3]; Closing JPA EntityManagerFactory for persistence unit 'default'
2019-12-24;16:36:48,150;INFO;com.zaxxer.hikari.HikariDataSource ;[Thread-3]; HikariPool-1 - Shutdown initiated...
2019-12-24;16:36:48,156;INFO;com.zaxxer.hikari.HikariDataSource ;[Thread-3]; HikariPool-1 - Shutdown completed.
